FC Target vs Input,FC Target vs Beads,seq_origin,log_FC_Target_vs_Input,log_FC_Target_vs_Beads
0.7797967612,0.7283002958,Bayer1,-0.1080185729,-0.1376895137
1.7162614578,1.0063300483,Bayer1,0.2345834496,0.0027404406
0.7062113429,0.7527860083,Bayer1,-0.1510653112,-0.1233284615
0.9104910668,1.1840731654,Bayer1,-0.0407243109,0.0733785388
0.7704636446,1.0355344987,Bayer1,-0.1132478492,0.0151645719
2.3544986448,1.4915165537,Bayer1,0.3718984448,0.1736280778
0.8505331409,1.4593126332,Bayer1,-0.0703087595,0.1641483421
0.6844517832,0.7716314952,Bayer1,-0.1646571407,-0.1125900543
0.954679524,1.245843167,Bayer1,-0.0201423921,0.0954633746
0.7803083705,0.6648277438,Bayer1,-0.1077337343,-0.1772908654
0.9643237942,0.8098562486,Bayer1,-0.0157771171,-0.0915920626
0.7119149123,1.3120543649,Bayer1,-0.1475719099,0.1179518304
1.2513527952,1.3854889948,Bayer1,0.0973797681,0.1416030804
1.6403587023,1.0908098599,Bayer1,0.214938827,0.0377490549
0.8382700571,0.9347417382,Bayer1,-0.0766160465,-0.0293083647
0.8522558403,1.2154830713,Bayer1,-0.069430014,0.0847489146
0.7373236945,1.0763308958,Bayer1,-0.1323418094,0.0319458068
0.723127432,0.6348760288,Bayer1,-0.1407851631,-0.1973110704
1.0342995428,1.0767850646,Bayer1,0.0146463327,0.0321290231
0.9360054904,0.8260557709,Bayer1,-0.0287216038,-0.0829906305
0.9181493102,1.4095934647,Bayer1,-0.0370866877,0.1490938776
1.0644454442,1.1305199409,Bayer1,0.0271234075,0.0532782271
0.9776529308,1.2148769702,Bayer1,-0.0098152934,0.0845322995
57.4624284105,0.478199298,Bayer1,1.7593839757,-0.3203910658
1.4923172373,0.6763897692,Bayer1,0.1738611554,-0.16980297
1.1469424273,0.9130543857,Bayer1,0.0595416183,-0.0395033531
0.8796646591,0.9456012276,Bayer1,-0.0556828556,-0.0242919727
0.8269780807,0.9371724179,Bayer1,-0.0825060014,-0.0281805017
1.1146297605,1.1104933776,Bayer1,0.0471306345,0.045515973
1.0495213828,1.0396422814,Bayer1,0.0209912913,0.0168839336
0.8993480129,0.7935019143,Bayer1,-0.0460722206,-0.1004520212
0.7772529959,0.9763269863,Bayer1,-0.1094375953,-0.0104047063
0.7272254892,0.7031110997,Bayer1,-0.1383309076,-0.152976046
0.9644631879,1.1773126024,Bayer1,-0.015714344,0.0708917929
1.3135670982,0.9225638714,Bayer1,0.1184522618,-0.0350035568
0.8510239942,1.2834279947,Bayer1,-0.070058195,0.1083715081
0.8933955163,0.9746600419,Bayer1,-0.0489562314,-0.0111468383
1.5913167191,0.9339071176,Bayer1,0.2017566257,-0.0296963147
0.8877426295,0.9634581674,Bayer1,-0.0517129247,-0.0161671373
0.8671995146,1.1572773831,Bayer1,-0.0618809739,0.0634374657
1.2386235271,1.0287569964,Bayer1,0.092939325,0.0123128018
0.6903438338,0.7148271035,Bayer1,-0.1609345499,-0.1457989891
0.7004213906,0.9144850878,Bayer1,-0.1546405992,-0.038823372
0.9970980912,1.1311508224,Bayer1,-0.0012621151,0.0535205156
0.6601612291,0.7042482199,Bayer1,-0.1803499851,-0.1522742421
0.8601603004,1.3336441693,Bayer1,-0.0654206056,0.1250399706
1.0504895767,1.0550528713,Bayer1,0.0213917476,0.0232742237
1.172689273,1.0635712998,Bayer1,0.0691829525,0.0267666095
1.0288758852,1.7435645946,Bayer1,0.0123629884,0.2414380415
1.9283409455,0.6058374614,Bayer1,0.285183823,-0.217643876
1.7380344893,1.4620287541,Bayer1,0.2400583903,0.1649559141
0.8095798164,0.7625415699,Bayer1,-0.0917403278,-0.1177364758
1.0839148121,0.867039333,Bayer1,0.0349951511,-0.0619612004
0.9729133236,0.8733102923,Bayer1,-0.0119258491,-0.0588314215
1.712352889,0.4352659648,Bayer1,0.2335932708,-0.3612452908
0.8823595049,1.017335159,Bayer1,-0.0543544316,0.0074640539
0.7971480735,0.9973475512,Bayer1,-0.0984609991,-0.0011534743
0.8275176103,0.9908502948,Bayer1,-0.0822227553,-0.0039919571
1.2451702652,1.211681609,Bayer1,0.0952287411,0.0833885162
0.8911435018,1.2891788299,Bayer1,-0.0500523554,0.1103131652
